Sample	posterior	treeLikelihood	birthDeath	clockRate
3700000	-13759.281413214905	-13643.690791780195	-115.59062143470992	3.903833075889959E-4
3750000	-13737.376794449829	-13642.982453230203	-94.39434121962498	0.0010200591979927795
3800000	-13734.67264841352	-13641.679208122276	-92.99344029124427	0.0011577874067475679
3850000	-13737.243502923193	-13644.433383559493	-92.81011936369971	0.001148816784731386
3900000	-13750.207057552307	-13643.527956756578	-106.67910079572846	5.683382374113999E-4
3950000	-13738.89036705054	-13637.80553961951	-101.08482743103053	6.98336561363545E-4
4000000	-13738.76135919623	-13640.449395316948	-98.31196387928391	8.099672099141882E-4
4050000	-13736.882357182936	-13646.703972190251	-90.17838499268436	0.0013506196023346103
4100000	-13734.260621179357	-13644.573140520943	-89.68748065841434	0.001459828390358705
4150000	-13741.62869788864	-13643.175547520903	-98.45315036773651	7.751340823722894E-4
4200000	-13745.24618067762	-13650.113675680104	-95.13250499751557	0.0010099691933580426
4250000	-13729.34070895283	-13637.892539400724	-91.4481695521069	0.0012329260667021072
4300000	-13735.74181101968	-13647.672558941224	-88.06925207845663	0.001632346535329827
4350000	-13741.179233081724	-13644.880122638284	-96.29911044344004	9.191932618822806E-4
4400000	-13732.159915777807	-13642.483661797449	-89.67625398035894	0.00147965599009333
4450000	-13738.298822733106	-13643.42367553566	-94.87514719744647	9.685124089702941E-4
4500000	-13742.953420973805	-13646.106006215445	-96.84741475836022	8.699280652670907E-4
4550000	-13733.38893515547	-13638.79055685938	-94.59837829608946	0.0010106968585696778
4600000	-13735.79812342898	-13642.522118689232	-93.27600473974864	0.0010904570429264603
4650000	-13739.438424616004	-13645.888970695414	-93.5494539205905	0.0011296527966609255
4700000	-13740.615531862712	-13643.776221599011	-96.83931026370097	8.718639480938898E-4
4750000	-13733.328741730833	-13645.77381666059	-87.55492507024168	0.0016820179698924236
4800000	-13739.899259200727	-13643.27580930963	-96.62344989109583	9.042939067454235E-4
4850000	-13733.545655873151	-13642.370327057375	-91.17532881577617	0.0012487330559035508
4900000	-13730.441148140184	-13639.409555449893	-91.03159269029132	0.0012647082417443008
4950000	-13746.017853346948	-13644.723712680236	-101.29414066671161	7.23841635482662E-4
5000000	-13744.831783578686	-13647.422480169296	-97.40930340938992	8.210266024631337E-4
5050000	-13736.84682143692	-13644.85296481794	-91.99385661898043	0.0011904841922486776
5100000	-13739.734521198427	-13648.854444117045	-90.88007708138105	0.0013269545657152346
5150000	-13742.839061304921	-13645.324515732278	-97.5145455726433	8.71879133712977E-4
5200000	-13742.920200541055	-13642.215253997092	-100.70494654396353	7.161790783746246E-4
5250000	-13739.600859258637	-13647.824765394007	-91.77609386463061	0.0012726626913959786
5300000	-13743.639209830675	-13643.527626368394	-100.11158346228105	7.620702406980914E-4
5350000	-13741.761310924605	-13640.399828750957	-101.36148217364808	6.898264142560759E-4
5400000	-13735.99846305656	-13642.592002994017	-93.40646006254337	0.0010443645709598388
5450000	-13736.377462281009	-13644.45171347589	-91.92574880511917	0.0011886546892066298
5500000	-13745.884230395484	-13643.337634811045	-102.54659558443892	6.640655015261418E-4
5550000	-13745.34748657779	-13644.374284405976	-100.97320217181365	7.3340651175444E-4
5600000	-13740.567169543214	-13643.670905544506	-96.89626399870684	8.907665113181637E-4
5650000	-13741.073436009552	-13642.953530508883	-98.11990550066831	8.045455717467857E-4
5700000	-13749.990372319962	-13643.80135441036	-106.18901790960292	5.362819961148435E-4
5750000	-13744.668860649357	-13639.686563546264	-104.98229710309283	6.061416992591698E-4
5800000	-13740.895288926535	-13641.436197102437	-99.45909182409702	7.591454493360038E-4
5850000	-13741.333570489885	-13641.004312911526	-100.32925757836034	7.454239299840351E-4
5900000	-13744.148084449593	-13642.957190880634	-101.19089356895846	7.17333730745842E-4
5950000	-13743.8858802823	-13648.314390097188	-95.57149018511082	8.909808059451525E-4
6000000	-13751.012858972164	-13648.327146999482	-102.6857119726834	6.632210966199323E-4
6050000	-13738.48484430241	-13642.923436878733	-95.56140742367693	9.719227862531332E-4
6100000	-13736.227076407327	-13639.092272561218	-97.13480384610875	8.627934011059936E-4
6150000	-13735.0935710752	-13640.088342615438	-95.00522845976252	9.953240944830185E-4
6200000	-13740.372311966661	-13640.142794720585	-100.22951724607607	7.521083009662962E-4
6250000	-13731.366677699056	-13638.599634174327	-92.76704352472925	0.0011616551976011027
6300000	-13745.398140947413	-13649.872532244224	-95.52560870318858	9.497937466275088E-4
6350000	-13738.010530786973	-13643.07569225552	-94.93483853145275	9.693526378331183E-4
6400000	-13735.76817812474	-13639.61823158887	-96.14994653586997	9.083016830526266E-4
6450000	-13731.893037517359	-13640.071934831267	-91.82110268609163	0.0012275050246942068
6500000	-13746.603358115446	-13644.479009798977	-102.12434831646893	6.541223596060857E-4
6550000	-13730.923305000773	-13643.114112372801	-87.80919262797279	0.0016487440162909343
6600000	-13739.50216828501	-13643.283701205908	-96.21846707910187	9.299268175225054E-4
6650000	-13745.967181483937	-13643.546135491895	-102.42104599204222	6.944693021385641E-4
6700000	-13741.787909616038	-13642.161966377751	-99.62594323828627	7.767873817857445E-4
6750000	-13739.734655770915	-13642.82966518401	-96.90499058690449	8.870347437450675E-4
6800000	-13750.044481788826	-13642.666361710915	-107.37812007791075	5.412048616395704E-4
6850000	-13734.035255257462	-13643.036040008312	-90.99921524915085	0.0013150935927654275
6900000	-13739.115376912881	-13645.646886998858	-93.4684899140232	0.0010646809113678461
6950000	-13731.694958239363	-13637.633386761894	-94.06157147746787	0.001029495412802257
7000000	-13740.046418055366	-13640.164404063444	-99.88201399192275	7.495594634508045E-4
7050000	-13732.832229032463	-13639.37591078227	-93.45631825019352	0.0010810965893288062
7100000	-13745.017844033368	-13644.379691016336	-100.6381530170303	7.131047007480129E-4
7150000	-13735.1114358757	-13639.933853992987	-95.17758188271314	9.516835890231181E-4
7200000	-13749.050623681482	-13642.279085379914	-106.77153830156733	5.37257430942006E-4
7250000	-13734.423483651533	-13637.978253688665	-96.44522996286894	8.941466303096886E-4
7300000	-13731.709307789763	-13642.040949876131	-89.66835791363175	0.0013908563266367565
7350000	-13740.222482972089	-13647.52632379087	-92.69615918121885	0.0011347791541583359
7400000	-13742.978375883495	-13639.116703521635	-103.86167236186046	6.301470555607136E-4
7450000	-13747.042755536046	-13640.939192157119	-106.10356337892681	5.716028003871482E-4
7500000	-13734.978122556788	-13639.463331189057	-95.51479136772971	9.513984344575158E-4
7550000	-13742.90732071331	-13647.00860394018	-95.89871677313	9.232531450055213E-4
7600000	-13736.456811011723	-13641.129065731702	-95.32774528002035	9.57422509939656E-4
7650000	-13741.469110139678	-13643.457479786404	-98.01163035327386	8.196040362090861E-4
7700000	-13734.655242110115	-13640.051071176713	-94.60417093340264	0.0010071765905349025
7750000	-13741.747939834322	-13641.850135816916	-99.89780401740555	7.386619934421969E-4
7800000	-13742.09807841655	-13642.600445937975	-99.49763247857524	7.669594967393272E-4
7850000	-13743.344810669283	-13651.147586817875	-92.19722385140855	0.0011536956917419365
7900000	-13730.722359786947	-13640.381326992585	-90.3410327943618	0.0013382896623678796
7950000	-13730.786410649029	-13640.268302460221	-90.51810818880756	0.001291043193994814
8000000	-13745.27498881288	-13640.098875831665	-105.17611298121513	5.749030153881929E-4
8050000	-13740.082973071487	-13647.805080279286	-92.27789279220165	0.0011573890662280504
8100000	-13746.445995622522	-13643.145253318975	-103.30074230354762	6.318189949910268E-4
8150000	-13744.142662615966	-13645.678512540286	-98.46415007568037	8.109458777478205E-4
8200000	-13736.260164742653	-13644.897610197688	-91.36255454496539	0.0012632386108855993
8250000	-13740.4058311361	-13642.071338876296	-98.33449225980381	8.057864248434053E-4
8300000	-13733.940284456768	-13644.657622586856	-89.2826618699124	0.0014418718420457304
8350000	-13737.301417770945	-13638.414705970714	-98.8867118002309	7.915065912842244E-4
8400000	-13739.68180969195	-13647.330796653689	-92.35101303826146	0.001103746743646661
8450000	-13731.761351761608	-13638.447484391862	-93.31386736974676	0.0011071092139003078
8500000	-13738.199440478165	-13648.1307942675	-90.06864621066524	0.001371595788453112
8550000	-13731.49482663847	-13638.619926490503	-92.87490014796845	0.0011254682548694226
8600000	-13739.571630084225	-13646.927909021699	-92.64372106252583	0.0010909624195446878
8650000	-13740.941293048543	-13646.110368289617	-94.83092475892626	0.001019138868626584
8700000	-13740.776401781175	-13638.316498282378	-102.45990349879767	6.572542924829707E-4
8750000	-13733.862074124692	-13639.132296636622	-94.72977748806925	0.0010350694046927648
8800000	-13739.51463153195	-13643.047139204218	-96.46749232773271	9.055702915314617E-4
8850000	-13737.19812423512	-13640.093639309342	-97.10448492577842	8.895331368779145E-4
8900000	-13742.032630967058	-13644.082163780162	-97.95046718689667	7.919626806482327E-4
8950000	-13741.258932188917	-13648.480055799186	-92.7788763897324	0.0011389290251971225
9000000	-13758.270903728802	-13650.547652477222	-107.72325125158076	5.168085946510798E-4
9050000	-13749.991159187153	-13653.137291402654	-96.85386778449916	8.70303656702866E-4
9100000	-13732.21842021644	-13642.389303901788	-89.82911631465285	0.0014099112084900317
9150000	-13748.926688246758	-13644.093303948539	-104.83338429821887	5.884902896859984E-4
9200000	-13742.005551579095	-13645.027575390772	-96.97797618832375	8.402584284354075E-4
9250000	-13738.993872038496	-13644.11482864276	-94.8790433957362	9.62529032646543E-4
9300000	-13732.155786160818	-13639.943535359142	-92.21225080167555	0.001173261498659297
9350000	-13732.581096658188	-13640.211432431275	-92.36966422691242	0.0011607143829274523
9400000	-13732.22984115958	-13641.983252506241	-90.2465886533387	0.0013684801875451617
9450000	-13742.645862517176	-13639.196072228064	-103.44979028911224	6.491432845133978E-4
9500000	-13744.847251098266	-13639.77467498819	-105.0725761100762	5.877894814766244E-4
9550000	-13742.535917443734	-13647.619375685437	-94.91654175829673	0.0010244499672609078
9600000	-13752.867209815457	-13644.48190173281	-108.38530808264693	5.076445380624586E-4
9650000	-13730.539212024063	-13639.777205136084	-90.76200688797918	0.0012581317485671894
9700000	-13739.491716110379	-13642.101768708544	-97.38994740183517	8.728024917212208E-4
9750000	-13749.467932237061	-13638.742341104846	-110.72559113221509	4.8618375296170243E-4
9800000	-13733.422552810114	-13638.679107477476	-94.74344533263952	0.0010206205432187177
9850000	-13747.650670171613	-13642.987742433514	-104.66292773810045	5.851587735109609E-4
9900000	-13746.294213179615	-13645.73683703328	-100.5573761463346	7.452912249776543E-4
9950000	-13742.644452519327	-13648.194229291434	-94.45022322789394	9.783601557875254E-4
